,cell_type,experiment,speed,persistance,order_t,local_order
0,cd4,exp090814,2.0583282336431257,19.511741936766736,5.785451526122731,3.265313055881056
1,cd4,exp090814,2.4597238203629788,17.24303893358233,10.1291115290234,4.045980662202588
2,cd8,exp090814,2.0979853658770313,15.315659620539188,6.787548461497237,2.976627108485474
3,cd8,exp090929,2.457681214714926,15.746882345872603,6.666537128628989,3.775761195658289
4,cd8,exp090814,3.259108044872228,13.459467991384434,6.647067959440808,4.313108454212844
5,cd8,exp090929,1.9906652510138598,16.38561665975968,5.4413962289719136,2.8749681306425607
6,cd4,exp101210,2.8669835463038504,15.35172013361692,4.2968454254617745,3.7036937395967553
7,cd8,exp101210,2.705254003878385,12.483995960783206,13.883453302086595,4.419028987219728
8,cd8,exp101208,1.8714439565706824,24.022297079826483,14.741961564415533,4.828934732776271
9,cd4,exp101208,2.233715660859115,23.564801534629485,14.053513752583925,4.0908097539801505
10,cd4,exp090929,1.6124099612380738,8.367963107789203,3.7369428907903184,1.9078963420429653
11,cd4,exp090929,1.6467414054281297,17.931190200514905,2.1399349638635514,
12,cd8,exp101210,2.6291339194825842,13.235071578517672,9.121888323188557,3.828829316842747
13,cd8,exp090814,3.5086008583362354,9.057878873083107,8.739094401866994,5.056100846052067
14,cd4,exp101210,2.424128386464736,14.464807581053227,9.134647030203723,3.7056183299789263
15,cd4,exp090814,2.430328749184607,15.471059630715354,9.732285942761775,2.654433506779639
16,cd4,exp090814,1.648839602107612,24.93786897868952,8.097574142483403,2.971345244561334
17,cd8,exp090814,1.2805825326702562,19.439470752906974,2.5451274351243955,1.4373412034666584
