,density,pooled_persist,global_order,sum_order,std_sum_order,lcl_order,std_lcl
0,0.1,4.671551372118051,3387.940284599032,29.73151450115729,11.947163556519325,3.468526373601422,1.1606055545427225
1,0.5,100.0,221381.26978951518,503.7601560096893,42.344825674765545,4.985369428450679,0.7710288969505804
2,0.6,100.0,331912.3211798168,687.5844518386036,42.85324564341346,5.431023260358333,0.6769930433328482
3,0.4,10.952611253929387,153914.8204576449,339.7979380511591,36.030732792511905,4.542539784902259,0.8749783720582178
4,0.2,3.821361204720978,9026.9349496603,68.02153108799168,27.022808046842968,3.552621781523488,1.176443923310071
5,1.0,100.0,792481.0645794082,1594.0495601129683,74.39195051149434,7.292922312214996,0.45392216086754367
6,0.3,3.9634202366373668,44919.53161731211,172.74201907639986,44.79730184557849,3.9144302989710464,1.1057269972884856
7,0.7,100.0,428527.17087295174,882.9283574777256,43.28039269864626,5.8989614851831895,0.6161733239758499
8,0.9,100.0,667938.3955760718,1344.9493827345475,69.82118050448604,6.860919206374827,0.515856957991947
9,0.8,100.0,538752.864373118,1102.8132753575264,69.78115536079333,6.372577735488583,0.5712627442237095
