,Seeded_cells,Free_voxels
0,0,262144
1,10,257134
2,20,252137
3,30,247128
4,40,242133
5,50,237134
6,60,232135
7,70,227154
8,80,222155
9,90,217166
10,100,212149
11,110,207164
12,120,202172
13,130,197190
14,140,192177
15,150,187189
16,160,182201
17,170,177207
18,180,172218
19,190,167225
20,200,162227
21,210,157243
22,220,152255
23,230,147277
24,240,142307
25,250,137299
26,260,132316
27,270,127389
28,280,122410
29,290,117488
30,300,112542
31,310,107646
32,320,102724
33,330,97919
34,340,93092
35,350,88333
36,360,83586
37,370,78864
38,380,74182
39,390,69498
40,400,64891
41,410,60299
42,420,55672
43,430,51090
44,440,46526
45,450,41969
46,460,37459
47,470,32959
48,480,28480
49,490,23988
50,500,19480
51,510,14921
52,520,10317
53,530,5733
54,540,1556
