,index,Lambda,Max_act,speed,persistance,order,lcl_order
0,0,3000,100,0.0006143158327159215,6.689131822129079,0.03327248596276251,
1,1,2000,50,4.6347677269884444e-05,0.42170412037764987,0.0001824932340091834,
2,2,500,10,3.957409195474453e-05,0.4359986854236362,0.00024526246901065914,
3,3,750,50,5.264791910931087e-05,0.42649834588583746,0.00024152143971882303,
4,4,5000,50,0.0009120433331818007,80.7602651684424,0.025462552408539785,
5,5,5000,100,0.0007572043197933435,116.5754307138397,0.022454338435665914,
6,6,4000,500,0.0004588944759091527,0.5017644884471143,0.010865860697068415,
7,7,500,500,4.39541431945932e-05,0.42286585597568027,0.00022706434067779275,
8,8,3000,50,4.9100945284161725e-05,462.4226146800477,0.00021823000223597974,
9,9,750,200,3.793553880611919e-05,368.3857349893274,0.00013572420986458441,
10,10,2000,500,0.00020805795538595111,0.47652966290877075,0.01566739059217283,
11,11,4000,10,4.955964140351468e-05,304.80942122959647,0.00036743306537867385,
12,12,2000,10,4.3792398788566084e-05,0.406364942488519,0.00014338205754466264,
13,13,4000,150,0.000558441907407998,0.7097080310586114,0.03809873639465044,
14,14,750,75,3.891540986672352e-05,0.4319734091177535,0.00018201361890233378,
15,15,4000,200,0.0007934684995191807,0.5686099777798569,0.018132265485579058,
16,16,5000,75,0.00023458476231680953,292.5357225564842,0.0011919735924991004,
17,17,4000,75,0.0008433187394307059,4.953282978465627,0.020292745179339246,
18,18,5000,200,0.0006575259547810302,0.5819058201379578,0.02489341493209341,
19,19,2000,100,4.25260562231664e-05,0.4318414405685606,0.00020246293148299633,
20,20,3000,500,0.00026384915560738855,0.48932698678850595,0.02231962798320242,
21,21,750,150,5.416537937345676e-05,0.42881000567707955,7.027623777250563e-05,
22,22,4000,100,0.0007156760596882379,247.0628327389038,0.02267288166764123,
23,23,4000,50,6.803762912658903e-05,315.24486177197616,0.003437468889437185,
24,24,750,10,9.152223288245443e-05,0.4272892485913922,0.00033306308434048894,
25,25,500,50,6.789340267231381e-05,0.41789163251916744,8.414470440097543e-05,
26,26,500,100,4.095075739875144e-05,0.4166645845300085,0.00035032234037730324,
27,27,5000,500,0.0005969092893547825,0.49043681782126086,0.012823467548783283,
28,28,1000,150,4.2594486723846224e-05,433.69439906938294,0.00031836085042585816,
29,29,1000,75,4.612617479485295e-05,363.00224033160595,0.00019327143218639107,
30,30,1000,10,5.133033393150358e-05,404.4587641103128,0.00024148312207870665,
31,31,3000,150,0.0005450782110454282,132.52922300519492,0.01071195460588569,
32,32,750,500,0.00024955824498841306,407.07499465704404,0.0037019947669702426,
33,33,2000,200,0.0002838732327795729,345.6642743251656,0.032022099308782116,
34,34,3000,10,4.866250686325657e-05,0.4247787063938297,0.00020661485006382978,
35,35,1000,500,6.699392275190177e-05,0.3941938956669698,0.001694996151944103,
36,36,1000,200,9.640684363595622e-05,418.5622187960359,0.0018021379908744028,
37,37,5000,150,0.0005926832429722163,0.7144051305741812,0.02576152560429558,
38,38,2000,75,4.97851104719215e-05,356.04126845756605,0.00036622175519412313,
39,39,3000,200,0.0005865702415649681,224.91279285936258,0.010613002330566083,
40,40,2000,150,5.8260545814614434e-05,304.6376040111394,0.0003888351233017499,
41,41,5000,10,0.00020246023667185451,452.7599874902352,0.00160459347520478,
42,42,500,75,5.0666746729987305e-05,0.41146660745316394,0.00021428992797450574,
43,43,750,100,0.00018917189879839524,288.34210566963145,0.0003958715019074278,
44,44,3000,75,0.00024969163810992175,279.6987362041912,0.0015727033180939784,
45,45,1000,50,3.704609816857776e-05,0.44300020884740826,0.00011277533313692025,
46,46,500,200,5.093481610189386e-05,300.1779856158591,0.00039622095994118006,
47,47,500,150,0.00020017906546286075,292.17282497219395,0.00229814927203351,
48,48,1000,100,4.850427711635641e-05,294.7662223598062,0.0003467209103056692,
