,Model,Density,speed,peristance,order,lcl_order
0,ACT,0.0012,12.258597095507204,0.4419520739931231,37.22566259834995,
1,ACT,0.0996,7.001191791180563,175.6414707347251,216.21287178478818,0.008443205854667644
2,ACT,0.1992,5.015275431873691,168.79932466375976,174.53707954384288,0.005423152284164421
3,ACT,0.3996,5.9304233591744,166.09120935680596,149.12268969990205,0.006301347664218693
4,ACT,0.3,5.129783131987645,164.59806802168225,195.33940889199224,0.005876019993166706
5,ACT,0.4992,6.776692902891835,154.1850507882445,262.006646678744,0.008041639694416234
6,ACT,0.6996,7.09861823170498,124.20980999531213,181.73354884659256,0.009330750925139394
7,ACT,0.6,7.1816217085966745,129.44721529657355,74.18143140237778,0.008875597031339295
8,ACT,0.7992,6.9436539958217915,121.1402045101146,360.44221718251555,0.008721205158468921
9,ACT,0.9996,6.7793937605654015,125.16892957877381,362.6834671444175,0.00766799152871215
10,ACT,0.9,6.819575562107676,129.83345617534025,439.42354689875845,0.007970014490703455
11,PRFDR,0.0012,5.623396834634228,0.464751606735361,21.99988596962393,
12,PRFDR,0.0996,2.408796789380118,179.73645846472076,67.15521104190496,0.0023433621175984313
13,PRFDR,0.1992,1.9640063185380139,177.93370777291352,150.0985816377617,0.003263163291770078
14,PRFDR,0.3996,1.0524573884795299,187.63875446202218,283.4823660204816,0.0043027912856079984
15,PRFDR,0.3,1.317875099221085,172.20323677562808,138.13943508132454,0.004499817511661655
16,PRFDR,0.4992,0.9794201335735342,210.99968566526593,206.477400502741,0.004048371260375677
17,PRFDR,0.6996,0.6082498921709057,188.25023082363725,184.0398278858462,0.0035597394815523706
18,PRFDR,0.6,0.5944867111635616,189.73593844496176,237.47468984127394,0.004016243955422437
19,PRFDR,0.7992,0.579754247359761,175.20456182446776,349.82536861969993,0.0032863047976157676
20,PRFDR,0.9996,0.43784697861015287,178.2210317931567,289.8609690471651,0.0028210573698593303
21,PRFDR,0.9,0.47995921751489384,182.8991452080621,303.3456012414902,0.003091162064831185
